02:56.810 | [LOG] Bot has been started
02:58.820 | [LOG] Cast number 1
03:04.148 | [LOG] Waiting for fish
03:24.319 | [LOG] 1 went wrong, AI failed to read image
03:24.319 | Performing 5 clicks
03:25.941 | [LOG] Fishing successful
03:25.941 | [LOG] Adding random delay...
03:40.620 | [LOG] Cast number 2
03:45.958 | [LOG] Waiting for fish
04:10.006 | [LOG] 2 went wrong, AI failed to read image
04:10.006 | Performing 5 clicks
04:11.638 | [LOG] Fishing successful
04:11.638 | [LOG] Adding random delay...
10:44.153 | [LOG] Bot has been started
10:46.156 | [LOG] Cast number 1
10:51.480 | [LOG] Waiting for fish
11:22.785 | [LOG] Bot has been started
11:24.802 | [LOG] Cast number 1
11:30.122 | [LOG] Waiting for fish
11:30.712 | [AI] I guess I need to click 6 times
11:30.712 | Performing 6 clicks
11:32.653 | [LOG] Fishing successful
11:32.653 | [LOG] Adding random delay...
11:46.006 | [LOG] Cast number 2
11:51.344 | [LOG] Waiting for fish
11:51.915 | Performing None clicks
12:01.038 | [LOG] Bot has been started
12:03.054 | [LOG] Cast number 1
12:08.375 | [LOG] Waiting for fish
12:29.154 | [LOG] 1 went wrong, AI failed to read image
12:29.154 | Performing 5 clicks
12:30.780 | [LOG] Fishing successful
12:30.780 | [LOG] Adding random delay...
12:45.262 | [LOG] Cast number 2
12:50.589 | [LOG] Waiting for fish
13:10.132 | [LOG] Bot has been started
13:12.137 | [LOG] Cast number 1
13:17.457 | [LOG] Waiting for fish
13:39.365 | [LOG] 1 went wrong, AI failed to read image
13:39.365 | Performing 5 clicks
13:40.985 | [LOG] Fishing successful
13:40.985 | [LOG] Adding random delay...
13:53.452 | [LOG] Cast number 2
14:06.118 | [LOG] Bot has been started
14:08.126 | [LOG] Cast number 1
14:13.453 | [LOG] Waiting for fish
14:30.185 | [AI] I guess I need to click 1 times
14:30.185 | Performing 1 clicks
14:30.511 | [LOG] Fishing successful
14:30.511 | [LOG] Adding random delay...
14:44.882 | [LOG] Cast number 2
14:50.211 | [LOG] Waiting for fish
15:06.871 | [AI] I guess I need to click 3 times
15:06.871 | Performing 3 clicks
15:07.846 | [LOG] Fishing successful
15:07.846 | [LOG] Adding random delay...
15:21.313 | [LOG] Cast number 3
15:26.641 | [LOG] Waiting for fish
15:45.657 | [AI] I guess I need to click 2 times
15:45.657 | Performing 2 clicks
15:46.309 | [LOG] Fishing successful
15:46.309 | [LOG] Adding random delay...
15:58.205 | [LOG] Cast number 4
16:03.530 | [LOG] Waiting for fish
16:27.714 | [AI] I guess I need to click 3 times
16:27.714 | Performing 3 clicks
16:28.689 | [LOG] Fishing successful
16:28.689 | [LOG] Adding random delay...
16:42.378 | [LOG] Cast number 5
16:47.708 | [LOG] Waiting for fish
17:08.362 | [AI] I guess I need to click 1 times
17:08.362 | Performing 1 clicks
17:08.681 | [LOG] Fishing successful
17:08.681 | [LOG] Adding random delay...
17:20.437 | [LOG] Cast number 6
17:25.767 | [LOG] Waiting for fish
17:44.702 | [AI] I guess I need to click 4 times
17:44.702 | Performing 4 clicks
17:46.005 | [LOG] Fishing successful
17:46.005 | [LOG] Adding random delay...
17:58.560 | [LOG] Cast number 7
18:03.893 | [LOG] Waiting for fish
18:25.752 | [AI] I guess I need to click 5 times
18:25.752 | Performing 5 clicks
18:27.376 | [LOG] Fishing successful
18:27.376 | [LOG] Adding random delay...
18:40.891 | [LOG] Cast number 8
18:46.219 | [LOG] Waiting for fish
19:02.300 | [AI] I guess I need to click 5 times
19:02.300 | Performing 5 clicks
19:03.925 | [LOG] Fishing successful
19:03.925 | [LOG] Adding random delay...
19:17.124 | [LOG] Cast number 9
19:22.460 | [LOG] Waiting for fish
19:46.606 | [AI] I guess I need to click 4 times
19:46.606 | Performing 4 clicks
19:47.915 | [LOG] Fishing successful
19:47.915 | [LOG] Adding random delay...
19:59.656 | [LOG] Cast number 10
20:04.985 | [LOG] Waiting for fish
20:20.001 | [AI] I guess I need to click 1 times
20:20.001 | Performing 1 clicks
20:20.327 | [LOG] Fishing successful
20:20.327 | [LOG] Adding random delay...
20:34.206 | [LOG] Cast number 11
20:39.533 | [LOG] Waiting for fish
20:56.710 | [AI] I guess I need to click 3 times
20:56.710 | Performing 3 clicks
20:57.683 | [LOG] Fishing successful
20:57.683 | [LOG] Adding random delay...
21:10.614 | [LOG] Cast number 12
21:15.950 | [LOG] Waiting for fish
21:38.992 | [AI] I guess I need to click 5 times
21:38.992 | Performing 5 clicks
21:40.615 | [LOG] Fishing successful
